City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Orguz,BA,43.7739,16.8639,36.39,88,73,8.23,broken clouds
148,Constitucion,CL,-35.3333,-72.4167,61.45,55,0,19.08,clear sky
149,Takoradi,GH,4.8845,-1.7554,81.0,83,99,8.75,overcast clouds
150,Saint George,US,37.1041,-113.5841,57.67,39,1,1.01,clear sky
151,Hithadhoo,MV,-0.6,73.0833,81.18,77,100,10.85,overcast clouds
152,Ahero,KE,-0.1746,34.9163,71.28,60,100,5.01,overcast clouds
153,Ulaanbaatar,MN,47.9077,106.8832,6.46,73,10,4.03,clear sky
154,Grindavik,IS,63.8424,-22.4338,41.47,87,75,21.85,broken clouds
155,Neuquen,AR,-38.9516,-68.0591,71.49,13,0,18.41,clear sky
156,Angoche,MZ,-16.2325,39.9086,80.37,79,5,12.35,clear sky
157,Visby,SE,57.6409,18.296,34.02,86,75,5.75,broken clouds
158,Salina Cruz,MX,16.1667,-95.2,88.47,45,0,25.68,clear sky
159,Shitanjing,CN,39.2342,106.3439,20.44,32,0,3.09,clear sky
160,Ushtobe,KZ,45.2514,77.9838,35.02,91,100,1.81,light snow
161,Azpeitia,ES,43.1825,-2.2669,52.48,85,50,6.85,scattered clouds
162,Broken Hill,AU,-31.95,141.4333,65.91,26,4,9.22,clear sky
163,Gunjur,GM,13.2019,-16.7339,82.47,57,36,6.91,scattered clouds
164,Yumen,CN,40.2833,97.2,19.9,38,0,12.66,clear sky
165,Nikolskoye,RU,59.7035,30.7861,23.4,98,100,5.03,light snow
166,Port-Cartier,CA,50.0334,-66.8654,30.74,69,100,22.77,overcast clouds
167,Sola,VU,-13.8833,167.55,81.79,80,100,14.05,overcast clouds
168,Sao Filipe,CV,14.8961,-24.4956,75.54,68,78,6.73,broken clouds
169,Talcahuano,CL,-36.7167,-73.1167,62.28,48,20,13.8,few clouds
170,Yorosso,ML,12.3536,-4.7761,80.37,16,58,5.75,broken clouds
171,Beringovskiy,RU,63.05,179.3167,-19.97,92,100,11.43,overcast clouds
172,Tuatapere,NZ,-46.1333,167.6833,56.82,65,70,2.26,broken clouds
173,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,90,16.11,light snow
174,Balkhash,KZ,46.844,74.9804,28.56,97,100,2.75,snow
175,Matay,EG,28.419,30.7792,65.25,49,100,4.88,overcast clouds
176,Raudeberg,NO,61.9875,5.1352,43.47,89,99,5.01,overcast clouds
177,Imeni Poliny Osipenko,RU,52.4201,136.4853,15.22,93,100,12.8,light snow
178,Bonavista,CA,48.6499,-53.1147,57.11,90,100,32.28,light rain
179,Araouane,ML,18.9048,-3.5265,73.85,8,21,7.85,few clouds
180,Andros Town,BS,24.7,-77.7667,75.16,72,1,14.2,clear sky
181,Otane,NZ,-39.8833,176.6333,61.39,98,100,3.29,overcast clouds
182,Champerico,GT,14.3,-91.9167,89.29,67,1,8.14,clear sky
